GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JacocoDemo,org.example.demo,App,0,25,0,8,0,10,0,6,0,2
JacocoDemo,org.example.demo,SwitchApp,8,24,3,2,5,9,3,3,0,2
